call_index,completion_chars_mean,dataset_role,empty_response_rate,extracted_none_rate,format_accuracy,numeric_exact_rate,reward_mean,reward_std,sampled_rows
4865,569.5,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
4929,557.5,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
4993,726.0,['val' 'val'],0.0,0.0,1.0,0.5,7.25,2.75,2
5057,438.0,['val' 'val'],0.0,0.0,1.0,0.0,5.0,0.0,2
5121,637.0,['val' 'val'],0.0,0.0,0.5,0.0,3.0,1.5,2
5185,884.5,['val' 'val'],0.0,0.0,1.0,0.0,5.125,0.625,2
5249,872.5,['train' 'train'],0.0,0.0,1.0,1.0,10.0,0.0,2
5313,1327.5,['val' 'val'],0.0,0.5,0.0,0.5,1.25,1.75,2
5377,878.0,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
5441,525.0,['val' 'val'],0.0,0.0,1.0,0.5,7.25,2.75,2
5505,1311.5,['val' 'val'],0.0,0.0,1.0,0.5,7.25,2.75,2
5569,577.5,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
5633,623.5,['train' 'train'],0.0,0.0,1.0,0.0,4.5,0.0,2
5697,800.0,['val' 'val'],0.0,0.0,1.0,0.0,4.0,0.5,2
5761,880.0,['val' 'val'],0.0,0.0,1.0,0.5,7.25,2.75,2
5825,1381.5,['val' 'val'],0.0,0.5,0.5,0.0,2.0,2.5,2
5889,1151.5,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
5953,815.5,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
6017,455.0,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
6081,605.5,['train' 'train'],0.0,0.0,1.0,0.0,5.0,0.0,2
6145,840.0,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
6209,1830.0,['val' 'val'],0.0,1.0,0.0,0.0,-0.5,0.0,2
6273,878.0,['val' 'val'],0.0,0.0,1.0,0.5,7.25,2.75,2
6337,544.0,['val' 'val'],0.0,0.0,1.0,0.0,5.125,0.625,2
6401,406.0,['val' 'val'],0.0,0.0,0.0,1.0,3.0,0.0,2
6465,798.5,['val' 'val'],0.0,0.5,0.5,0.5,4.75,5.25,2
6529,1055.5,['train' 'train'],0.0,0.0,0.0,0.0,1.5,0.0,2
6593,1482.0,['val' 'val'],0.0,0.5,0.5,0.0,2.625,3.125,2
6657,1450.5,['val' 'val'],0.0,0.5,0.5,0.0,2.0,2.5,2
6721,1767.0,['val' 'val'],0.0,0.5,0.5,0.5,4.75,5.25,2
6785,678.5,['val' 'val'],0.0,0.0,0.0,0.0,1.5,0.0,2
6849,1325.0,['val' 'val'],0.0,0.5,0.5,0.0,2.0,2.5,2
6913,2649.5,['val' 'val'],0.0,0.5,0.0,0.0,0.0,0.5,2
6977,1284.0,['train' 'train'],0.0,0.5,0.5,0.0,2.0,2.5,2
7041,1747.5,['val' 'val'],0.0,0.5,0.5,0.0,2.0,2.5,2
7105,1073.5,['val' 'val'],0.0,0.0,0.5,0.0,3.0,1.5,2
7169,800.0,['val' 'val'],0.0,0.0,0.0,0.5,2.25,0.75,2
7233,476.5,['val' 'val'],0.0,0.0,0.0,1.0,3.0,0.0,2
7297,796.0,['val' 'val'],0.0,0.0,1.0,0.5,8.0,2.0,2
7361,388.5,['val' 'val'],0.0,0.0,0.0,0.5,2.25,0.75,2
7425,518.5,['train' 'train'],0.0,0.0,0.0,0.0,1.5,0.0,2
7489,1552.0,['val' 'val'],0.0,1.0,0.0,0.0,0.5,0.0,2
7553,2320.5,['val' 'val'],0.0,1.0,0.0,0.0,-0.5,0.0,2
7617,861.5,['val' 'val'],0.0,0.0,0.5,1.0,6.0,4.0,2
7681,545.5,['val' 'val'],0.0,0.0,0.0,0.0,1.5,0.0,2
7745,857.0,['val' 'val'],0.0,0.0,1.0,0.5,8.0,2.0,2
7809,733.0,['val' 'val'],0.0,0.0,0.0,0.0,1.5,0.0,2
7873,1233.5,['train' 'train'],0.0,0.0,0.0,1.0,3.0,0.0,2
7937,773.5,['val' 'val'],0.0,0.0,0.0,0.0,1.5,0.0,2
8001,1548.5,['val' 'val'],0.0,0.5,0.5,0.0,2.75,2.25,2
8065,939.0,['val' 'val'],0.0,0.0,0.0,0.5,2.25,0.75,2
8129,1170.5,['val' 'val'],0.0,0.5,0.0,0.0,0.5,1.0,2
8193,956.5,['val' 'val'],0.0,0.0,0.5,0.5,5.75,4.25,2
8257,1742.5,['val' 'val'],0.0,0.5,0.5,0.0,2.75,2.25,2
8321,874.5,['train' 'train'],0.0,0.0,0.0,0.0,1.5,0.0,2
8385,1455.5,['val' 'val'],0.0,0.0,0.0,0.0,1.5,0.0,2
8449,648.5,['val' 'val'],0.0,0.0,0.0,0.0,1.5,0.0,2
8513,822.0,['val' 'val'],0.0,0.0,0.0,0.0,1.5,0.0,2
8577,892.5,['val' 'val'],0.0,0.0,0.5,0.0,3.0,1.5,2
8641,600.0,['val' 'val'],0.0,0.0,0.0,0.5,2.25,0.75,2
8705,1917.5,['train' 'train'],0.0,0.0,0.0,0.0,1.5,0.0,2
8769,1174.0,['val' 'val'],0.0,0.0,0.0,0.0,1.5,0.0,2
8833,711.5,['val' 'val'],0.0,0.0,0.0,0.0,1.5,0.0,2
8897,1133.5,['val' 'val'],0.0,0.0,0.5,0.0,3.0,1.5,2
8961,960.0,['val' 'val'],0.0,0.5,0.5,0.0,2.0,2.5,2
9025,1118.5,['val' 'val'],0.0,0.0,0.0,0.5,2.25,0.75,2
9089,839.0,['val' 'val'],0.0,0.0,1.0,0.0,5.0,0.0,2
9153,1156.0,['train' 'train'],0.0,0.0,0.0,1.0,0.5,0.5,2
9217,945.5,['val' 'val'],0.0,0.0,1.0,0.0,5.125,0.625,2
9281,620.5,['val' 'val'],0.0,0.0,0.5,1.0,6.5,3.5,2
9345,845.5,['val' 'val'],0.0,0.0,0.0,0.0,1.5,0.0,2
9409,612.0,['val' 'val'],0.0,0.0,0.0,1.0,3.0,0.0,2
9473,857.0,['val' 'val'],0.0,0.5,0.5,0.0,2.0,2.5,2
9537,1453.5,['val' 'val'],0.0,0.5,0.5,0.5,4.75,5.25,2
9601,1606.0,['train' 'train'],0.0,0.5,0.0,0.5,1.25,1.75,2
9665,1203.5,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
9729,1772.5,['val' 'val'],0.0,1.0,0.0,0.0,-0.5,0.0,2
9793,1709.0,['val' 'val'],0.0,0.5,0.5,0.5,4.75,5.25,2
9857,1678.0,['val' 'val'],0.0,0.5,0.5,0.0,2.0,2.5,2
9921,604.0,['val' 'val'],0.0,0.0,0.0,1.0,3.0,0.0,2
9985,766.5,['val' 'val'],0.0,0.0,0.5,1.0,6.5,3.5,2
10049,2283.5,['train' 'train'],0.0,1.0,0.0,0.0,-0.5,0.0,2
