answer_single_number_rate,call_index,dataset_role,dense_wrong_reward_std,empty_response_rate,extracted_none_rate,fallback_guarded_wrong_reward_std,fallback_number_used_rate,fallback_numeric_exact_rate,format_accuracy,guarded_wrong_reward_std,no_close_answer_rate,numeric_exact_rate,overlong_rate_1200,overlong_rate_1600,parser_false_negative_rate,reward_format_leakage,reward_hacking_rate,reward_mean,reward_mode,reward_numeric_margin,robust_numeric_exact_rate,rows,run_id
0.875,1,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],1.0374916331657278,0.0,0.125,2.893790496476896,0.0,0.0,0.0,1.5877132402714709,0.0,0.25,0.0,0.0,0.0,,0.0,-0.25,baseline,1.6666666666666665,0.25,8,R2_k8_beta004_rollout320
1.0,376,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,baseline,,1.0,8,R2_k8_beta004_rollout320
0.75,377,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],1.0926470386270253,0.0,0.25,2.9228357377724805,0.0,0.0,0.0,1.5971914124998499,0.25,0.125,0.125,0.0,0.0,,0.0,-1.0625,baseline,2.357142857142857,0.125,8,R2_k8_beta004_rollout320
1.0,378,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.6614378277661477,0.0,0.0,0.6614378277661477,0.0,0.0,0.0,0.6614378277661477,0.25,0.0,0.0,0.0,0.0,,0.0,-0.75,baseline,,0.0,8,R2_k8_beta004_rollout320
1.0,379,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.0,3.6309218870694533,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,,0.0,0.4375,baseline,1.5,0.625,8,R2_k8_beta004_rollout320
0.625,380,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],1.0825317547305484,0.0,0.375,2.846152831015931,0.0,0.0,0.625,1.6909686573085854,0.0,0.0,0.0,0.0,0.0,3.5,0.625,2.0,baseline,,0.0,8,R2_k8_beta004_rollout320
1.0,381,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.5,0.125,0.0,0.0,,0.0,0.125,baseline,1.25,0.5,8,R2_k8_beta004_rollout320
1.0,382,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.5892556509887896,0.0,0.0,3.107450723664013,0.0,0.0,0.0,0.8249579113843055,0.0,0.625,0.0,0.0,0.0,,0.0,0.5625,baseline,1.1666666666666667,0.625,8,R2_k8_beta004_rollout320
0.75,383,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.8425917976695477,0.0,0.25,0.7228145941387736,0.0,0.0,0.0,1.3342688775130747,0.125,0.0,0.375,0.25,0.0,,0.0,-0.875,baseline,,0.0,8,R2_k8_beta004_rollout320
1.0,384,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.0,3.247595264191645,0.0,0.0,0.0,0.0,0.125,0.75,0.125,0.0,0.0,,0.0,0.5,baseline,1.3333333333333335,0.75,8,R2_k8_beta004_rollout320
0.5,385,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.75,0.0,0.5,0.375,0.0,0.0,0.0,1.25,0.25,0.0,0.625,0.375,0.0,,0.0,-1.5,baseline,,0.0,8,R2_k8_beta004_rollout320
1.0,386,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,baseline,,1.0,8,R2_k8_beta004_rollout320
0.875,387,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.0,3.247595264191645,0.0,0.0,0.0,0.0,0.125,0.75,0.0,0.0,0.0,,0.0,0.5,baseline,2.0,0.75,8,R2_k8_beta004_rollout320
0.875,388,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.75,0.0,0.125,2.457251704140217,0.0,0.0,0.0,1.25,0.0,0.75,0.0,0.0,0.0,,0.0,0.5,baseline,2.0,0.75,8,R2_k8_beta004_rollout320
1.0,389,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],,0.0,0.0,0.0,0.0,0.0,0.0,,0.375,1.0,0.0,0.0,0.0,,0.0,0.625,baseline,,1.0,8,R2_k8_beta004_rollout320
0.875,390,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.6,0.0,0.125,3.6634544404837355,0.0,0.0,0.125,1.0,0.0,0.375,0.125,0.0,0.0,,0.0,0.9375,baseline,4.9,0.375,8,R2_k8_beta004_rollout320
1.0,391,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.0,0.0,2.4803918541230536,0.0,0.0,0.0,0.0,0.375,0.875,0.0,0.0,0.0,,0.0,0.4375,baseline,1.0714285714285714,0.875,8,R2_k8_beta004_rollout320
0.625,392,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.7261843774138906,0.0,0.375,2.3249243939319832,0.0,0.0,0.0,1.2103072956898178,0.125,0.0,0.5,0.5,0.0,,0.0,-1.375,baseline,,0.0,8,R2_k8_beta004_rollout320
0.875,393,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],1.4439529078193651,0.0,0.125,2.765404299103478,0.0,0.0,0.0,1.9937402037376886,0.125,0.375,0.0,0.0,0.0,,0.0,-0.1875,baseline,1.3666666666666667,0.375,8,R2_k8_beta004_rollout320
