answer_format,extracted_none,format_ok,n,numeric,numeric_exact,reasoning_format,reward_recomputed,reward_total,robust_numeric_exact,role,rollouts_seen,trace_call_index
0.2,0.0,0.0,8,0.775,0.75,0.1,1.075,1.0749999657273293,0.75,train,589.7849818061528,795
0.2,0.0,0.0,8,0.8875,0.875,0.1,1.1875,1.1874999590218067,0.875,train,590.5268497077958,796
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,591.2687176094387,797
0.2,0.0,0.0,8,0.325,0.25,0.1,0.625,0.6249999925494194,0.25,train,592.0105855110817,798
0.2,0.0,0.0,8,0.325,0.25,0.1,0.625,0.6249999925494194,0.25,train,592.7524534127247,799
0.15000000000000002,0.25,0.0,8,0.4375,0.25,0.07500000000000001,0.6625,0.6624999865889549,0.25,train,593.4943213143677,800
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,594.2361892160106,801
0.2,0.0,0.0,8,1.0,1.0,0.125,1.3250000000000002,1.3249999582767487,1.0,train,594.9780571176535,802
0.2,0.0,0.0,8,1.0,1.0,0.11250000000000002,1.3125,1.3124999552965164,1.0,train,595.7199250192965,803
0.2,0.0,0.0,8,0.8875,0.875,0.1,1.1875,1.1874999590218067,0.875,train,596.4617929209395,804
0.2,0.0,0.0,8,0.68125,0.625,0.1,0.9812500000000001,0.9812499731779099,0.625,train,597.2036608225825,805
0.15000000000000002,0.25,0.0,8,0.2125,0.0,0.05,0.41250000000000003,0.4125000014901161,0.0,train,597.9455287242254,806
0.17500000000000002,0.125,0.0,8,0.775,0.75,0.07500000000000001,1.0250000000000001,1.0249999649822712,0.75,train,598.6873966258684,807
0.2,0.0,0.0,8,0.8875,0.875,0.125,1.2125000000000001,1.2124999649822712,0.875,train,599.4292645275112,808
0.2,0.0,0.0,8,0.8875,0.875,0.1375,1.225,1.2249999642372131,0.875,train,600.1711324291542,809
0.2,0.0,0.0,8,0.1,0.0,0.16250000000000003,0.4625,0.4625000022351742,0.0,train,600.9130003307972,810
0.17500000000000002,0.125,0.0,8,0.1,0.0,0.08750000000000001,0.36250000000000004,0.36250000447034836,0.0,train,601.6548682324402,811
0.07500000000000001,0.625,0.0,8,0.2125,0.125,6.938893903907228e-18,0.28750000000000003,0.2874999977648258,0.125,train,602.3967361340831,812
0.2,0.0,0.0,8,1.0,1.0,0.1,1.3,1.2999999523162842,1.0,train,603.1386040357261,813
0.2,0.0,0.0,8,0.2125,0.125,0.17500000000000004,0.5875,0.5874999947845936,0.125,train,603.8804719373691,814
0.2,0.0,0.0,8,1.0,1.0,0.125,1.3250000000000002,1.3249999582767487,1.0,train,604.622339839012,815
0.2,0.0,0.0,8,0.325,0.25,0.16250000000000003,0.6875,0.6874999962747097,0.25,train,605.364207740655,816
0.15000000000000002,0.25,0.0,8,0.2125,0.125,0.07500000000000001,0.4375,0.4374999962747097,0.125,train,606.1060756422979,817
0.2,0.0,0.0,8,1.0,1.0,0.11250000000000002,1.3125,1.3124999552965164,1.0,train,606.8479435439409,818
0.17500000000000002,0.125,0.0,8,0.1,0.0,0.0625,0.3375,0.3375000050291419,0.0,train,607.5898114455838,819
0.2,0.0,0.0,8,1.0,1.0,0.1375,1.3375000000000001,1.337499961256981,1.0,train,608.3316793472268,820
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,609.0735472488698,821
0.1,0.5,0.0,8,0.1,0.0,0.02500000000000001,0.225,0.22500000149011612,0.0,train,609.8154151505128,822
0.1,0.5,0.0,8,0.4375,0.375,0.02500000000000001,0.5625,0.5624999850988388,0.375,train,610.5572830521556,823
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,611.2991509537986,824
0.2,0.0,0.0,8,0.11875000000000001,0.0,0.16250000000000003,0.48125,0.48124999925494194,0.0,train,612.0410188554416,825
0.2,0.0,0.0,8,0.1,0.0,0.1,0.4,0.4000000059604645,0.0,train,612.7828867570846,826
0.2,0.0,0.0,8,1.0,1.0,0.17500000000000004,1.375,1.3749999701976776,1.0,train,613.5247546587276,827
0.2,0.0,0.0,8,0.11875000000000001,0.0,0.125,0.44375000000000003,0.4437500014901161,0.0,train,614.2666225603705,828
0.1625,0.125,0.0,8,0.775,0.625,0.07500000000000004,1.0125000000000002,1.012499988079071,0.625,train,615.0084904620135,829
0.2,0.0,0.0,8,0.325,0.25,0.17500000000000004,0.7000000000000001,0.6999999918043613,0.25,train,893.2089535781232,1204
0.2,0.0,0.0,8,0.325,0.25,0.15000000000000002,0.675,0.6749999895691872,0.25,train,893.9508214797663,1205
0.17500000000000002,0.125,0.0,8,0.2125,0.125,0.11250000000000002,0.5,0.5,0.125,train,894.6926893814092,1206
0.2,0.0,0.0,8,0.325,0.25,0.15000000000000002,0.675,0.6749999895691872,0.25,train,895.4345572830521,1207
0.2,0.0,0.0,8,0.4375,0.375,0.20000000000000004,0.8375,0.8374999910593033,0.375,train,896.1764251846952,1208
0.2,0.0,0.0,8,1.0,1.0,0.16250000000000003,1.3625,1.3624999672174454,1.0,train,896.918293086338,1209
0.2,0.0,0.0,8,1.0,1.0,0.17500000000000004,1.375,1.3749999701976776,1.0,train,897.660160987981,1210
0.2,0.0,0.0,8,0.2125,0.125,0.18750000000000003,0.6,0.5999999977648258,0.125,train,898.4020288896239,1211
0.2,0.0,0.0,8,1.0,1.0,0.18750000000000003,1.3875000000000002,1.3874999731779099,1.0,train,899.143896791267,1212
