answer_format,extracted_none,format_ok,n,numeric,numeric_exact,reasoning_format,reward_recomputed,reward_total,robust_numeric_exact,role,rollouts_seen,trace_call_index
0.1711734693877551,0.12755102040816327,0.0,8,0.6625,0.5867346938775511,0.05994897959183674,0.8936224489795919,0.8936224238547895,0.5867346938775511,train,0.7418679016429596,1
0.17175,0.125,0.0,8,0.6557499999999999,0.58,0.060750000000000005,0.88825,0.8882499752286822,0.58,train,278.9423310177528,376
0.17230392156862745,0.12254901960784313,0.0,8,0.649264705882353,0.5735294117647058,0.06151960784313726,0.8830882352941176,0.8830882108624221,0.5735294117647058,train,279.6841989193958,377
0.171875,0.125,0.0,8,0.6451923076923077,0.5673076923076923,0.061778846153846156,0.8788461538461538,0.8788461296263939,0.5673076923076923,train,280.4260668210387,378
0.1724056603773585,0.12264150943396226,0.0,8,0.6518867924528302,0.5754716981132075,0.0625,0.8867924528301887,0.8867924281677125,0.5754716981132075,train,281.16793472268165,379
0.1729166666666667,0.12037037037037036,0.0,8,0.6583333333333333,0.5833333333333334,0.06365740740740741,0.8949074074074075,0.894907382428991,0.5833333333333334,train,281.9098026243246,380
0.17340909090909093,0.11818181818181818,0.0,8,0.6645454545454546,0.5909090909090909,0.06454545454545454,0.9025000000000001,0.9024999746629461,0.5909090909090909,train,282.6516705259676,381
0.1738839285714286,0.11607142857142858,0.0,8,0.6685267857142857,0.5959821428571429,0.06517857142857143,0.9075892857142858,0.9075892600979257,0.5959821428571429,train,283.39353842761057,382
0.1743421052631579,0.11403508771929824,0.0,8,0.66875,0.5964912280701754,0.06578947368421054,0.9088815789473684,0.9088815533098552,0.5964912280701754,train,284.1354063292535,383
0.17392241379310347,0.11637931034482758,0.0,8,0.6608836206896551,0.5862068965517241,0.06551724137931035,0.900323275862069,0.9003232506922735,0.5862068965517241,train,284.8772742308965,384
0.17394067796610171,0.11652542372881355,0.0,8,0.6628177966101695,0.5889830508474576,0.06567796610169492,0.9024364406779661,0.9024364153412565,0.5889830508474576,train,285.6191421325394,385
