source,run,metric,tag,step,wall_time,value
tensorboard,baseline,mean_reward,rewards/train/score/mean,75,1780933397.2459226,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,76,1780933398.198132,2.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,77,1780933398.7206273,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,78,1780933399.222181,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,79,1780933399.5756679,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,80,1780933399.9234157,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,81,1780933400.4874952,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,82,1780933400.9735084,0.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,83,1780933401.372567,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,84,1780933401.859032,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,85,1780933402.1984153,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,86,1780933402.7262247,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,87,1780933403.1872897,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,88,1780933403.9280403,0.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,89,1780933404.3675568,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,90,1780933404.865421,1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,91,1780933405.3972774,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,92,1780933405.9029388,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,93,1780933406.1225433,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,94,1780933407.7809362,-2.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,95,1780933408.2402747,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,96,1780933408.628583,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,97,1780933408.9903114,0.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,98,1780933409.5455494,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,99,1780933411.206664,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,100,1780933411.8611593,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,101,1780933412.4773686,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,102,1780933412.9940658,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,103,1780933413.3953059,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,104,1780933413.8465023,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,105,1780933415.0814028,2.625
tensorboard,baseline,mean_reward,rewards/train/score/mean,106,1780933415.500679,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,107,1780933416.0018291,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,108,1780933416.6065428,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,109,1780933417.0910072,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,110,1780933418.0004404,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,111,1780933418.373549,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,112,1780933418.6988065,-0.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,113,1780933419.0787945,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,114,1780933419.7656522,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,115,1780933421.1502178,-0.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,116,1780933421.8488688,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,117,1780933423.5063066,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,118,1780933424.1177185,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,119,1780933425.7780497,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,120,1780933428.016522,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,121,1780933428.4256139,-1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,122,1780933430.0829797,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,123,1780933431.2808304,6.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,124,1780933431.6442835,-0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,125,1780933432.6110637,-1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,126,1780933432.9735503,0.5
