run,metric,step,value
course-baseline-001,train score mean,164,5.5
course-baseline-001,train score mean,165,4.5
course-baseline-001,train score mean,166,0.25
course-baseline-001,train score mean,167,0.25
course-baseline-001,train score mean,168,1.5
course-baseline-001,train score mean,169,3.5
course-baseline-001,train score mean,170,3.5
course-baseline-001,train score mean,171,9.0
course-baseline-001,train score mean,172,3.5
course-baseline-001,train score mean,173,3.5
course-baseline-001,train score mean,174,6.25
course-baseline-001,train score mean,175,1.0
course-baseline-001,train score mean,176,3.5
course-baseline-001,train score mean,177,1.625
course-baseline-001,train score mean,178,6.25
course-baseline-001,train score mean,179,3.5
course-baseline-001,train score mean,180,-1.5
course-baseline-001,train score mean,181,2.0
course-baseline-001,train score mean,182,3.5
course-baseline-001,train score mean,183,9.0
course-baseline-001,train score mean,184,7.25
course-baseline-001,train score mean,185,6.25
course-baseline-001,train score mean,186,6.5
course-baseline-001,train score mean,187,3.75
course-baseline-001,train score mean,188,10.0
course-baseline-001,train score mean,189,-2.5
course-baseline-001,train score mean,190,4.75
course-baseline-001,train score mean,191,2.25
course-baseline-001,train score mean,192,1.5
course-baseline-001,train score mean,193,2.0
course-baseline-001,train score mean,194,3.0
course-baseline-001,train score mean,195,3.5
course-baseline-001,train score mean,196,1.0
course-baseline-001,train score mean,197,5.5
course-baseline-001,train score mean,198,9.0
course-baseline-001,train score mean,199,9.0
course-baseline-001,train score mean,200,10.0
course-baseline-001,train score mean,201,2.0
course-baseline-001,train score mean,202,9.0
course-baseline-001,train score mean,203,5.75
course-baseline-001,train score mean,204,9.0
course-baseline-001,train score mean,205,1.0
course-baseline-001,train score mean,206,-0.5
course-baseline-001,train score mean,207,0.25
course-baseline-001,train score mean,208,3.5
course-baseline-001,train score mean,209,1.0
course-baseline-001,train score mean,210,2.0
course-baseline-001,train score mean,211,9.0
course-baseline-001,train score mean,212,3.0
course-baseline-001,train score mean,213,6.25
course-baseline-001,train score mean,214,3.75
course-baseline-001,train score mean,215,1.5
course-baseline-001,train score mean,216,3.25
course-baseline-001,train score mean,217,-0.75
course-baseline-001,train score mean,218,5.75
course-baseline-001,train score mean,219,10.0
course-baseline-001,train score mean,220,10.0
course-baseline-001,train score mean,221,4.5
course-baseline-001,train score mean,222,1.5
course-baseline-001,train score mean,223,-0.5
course-baseline-001,train score mean,224,2.5
