call_index,completion_chars_mean,dataset_role,empty_response_rate,extracted_none_rate,format_accuracy,numeric_exact_rate,reward_mean,reward_std,sampled_rows
1,369.125,['train' 'train' 'train' 'train' 'train' 'train' 'train' 'train'],0.0,0.125,0.0,0.25,0.6749999895691872,0.373329590824523,8
2,538.375,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.125,1.0,1.3624999523162842,0.16535945694153692,8
3,772.125,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.125,0.5,0.8999999742954969,0.6123724147081557,8
4,1229.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.375,0.0,0.0,0.3750000102445483,0.22220486887831709,8
5,964.375,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.0,0.75,1.0999999791383743,0.5074445670958727,8
6,1508.25,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.75,0.0,0.0,0.10000000149011612,0.17320508333784457,8
7,462.625,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.625,0.0,0.6374999862164259,0.3805834233030539,8
8,988.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.0,0.25,0.6124999895691872,0.4342737985204198,8
9,831.125,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.25,0.0,0.48749999701976776,0.2758509462754774,8
10,1333.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.5,0.0,0.0,0.16250000149011612,0.21758619161681875,8
11,957.375,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.0,0.0,0.23750000353902578,0.2117634324817387,8
12,372.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.0,0.25,0.5062499912455678,0.5198782732361292,8
13,900.875,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.0,0.4000000059604645,0.0,8
14,495.5,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,1.0,1.3249999582767487,0.043301280513049246,8
15,609.25,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,1.0,1.2374999597668648,0.16535943722915353,8
16,296.5,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.75,1.1749999821186066,0.3897114213791701,8
17,544.25,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.875,1.1874999590218067,0.2976470047536214,8
18,544.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.125,0.5,0.8499999912455678,0.570087695314584,8
19,677.25,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.375,0.25,0.7624999908730388,0.5218656295883449,8
20,1489.5,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.375,0.0,0.0,0.31250000186264515,0.19645292082950938,8
21,694.25,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.0,0.875,1.2499999552965164,0.13228755766827618,8
22,665.0,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.875,1.2874999791383743,0.2976470146098131,8
23,705.625,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.25,0.0,0.5249999985098839,0.21650633804132552,8
24,1793.625,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.75,0.0,0.125,0.42499999795109034,0.476313965345535,8
25,1802.125,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.625,0.0,0.0,0.15000000223517418,0.1936491701959683,8
26,724.0,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.625,0.9249999700114131,0.5141740736658169,8
27,242.0,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.0,0.3375000050291419,0.16535945940558483,8
28,547.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.25,0.6249999925494194,0.38971140847438596,8
29,468.0,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.375,0.7999999895691872,0.4415880271190395,8
30,520.375,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,1.0,1.2999999523162842,0.0,8
31,915.5,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.0,0.0,0.4812500001862645,0.15398356100555094,8
32,1515.0,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.5,0.0,0.125,0.3124999962747097,0.4166458191548769,8
33,1382.125,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.625,0.0,0.7374999821186066,0.3079671154336892,8
34,436.5,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,1.0,1.2999999523162842,0.0,8
35,505.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.0,0.3375000050291419,0.16535945940558483,8
36,457.25,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.125,0.2625000039115548,0.30796712945794075,8
37,355.375,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,1.0,1.2999999523162842,0.0,8
38,721.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.0,0.125,0.5687500028871,0.33905888657104405,8
39,455.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.625,0.9624999724328518,0.4357106004779573,8
40,528.625,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.375,0.5,0.5,1.024999974295497,0.7013379840751709,8
41,1039.375,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.0,0.25,0.7124999919906259,0.43427380557063294,8
42,386.125,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.0,0.0,0.2500000037252903,0.25980762500676685,8
43,1320.375,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.625,0.0,0.25,0.5624999925494194,0.5383713730178302,8
44,543.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,1.0,1.2999999523162842,0.0,8
45,1689.0,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.5,0.0,0.0,0.29375000670552254,0.22972470376729187,8
46,1127.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.0,0.125,0.34999999683350325,0.4123105493930262,8
47,854.625,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.0,0.125,0.47499999962747097,0.3799670957752757,8
48,434.5,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,1.0,1.3124999552965164,0.033071899273260735,8
49,350.0,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,1.0,1.0874999910593033,0.28912581768427487,8
50,569.875,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.0,0.375,0.7624999918043613,0.49733664100301955,8
51,1133.375,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.0,0.625,0.8624999709427357,0.5764926046653068,8
52,468.5,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.0,0.75,1.112499963492155,0.3333072707826719,8
53,244.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.5,0.7874999782070518,0.5348772982287208,8
54,613.5,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.0,0.5,0.9499999852851033,0.5018714927279713,8
55,1110.375,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.0,0.125,0.49999999441206455,0.34641014731851294,8
56,807.625,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.375,0.5,0.25,0.7749999845400453,0.6666145601816083,8
57,522.625,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.0,0.75,0.9249999895691872,0.2222048388058902,8
58,314.5,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.375,0.125,0.0,0.2374999988824129,0.3739568798640514,8
59,1061.875,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.0,0.5,0.862499974668026,0.4922841938722998,8
60,589.875,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,1.0,1.3624999672174454,0.0992156978197822,8
61,777.125,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.875,1.1874999590218067,0.2976470047536214,8
62,613.625,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.375,0.7374999858438969,0.4357106004779573,8
63,942.625,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.5,0.25,0.8562499787658453,0.5095570775702434,8
64,722.0,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.75,0.0,0.7624999843537807,0.2394655364850911,8
65,486.375,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.375,0.624999986961484,0.5825589917096166,8
66,667.0,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.0,0.75,1.3124999850988388,0.18328597161893467,8
67,415.5,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.5,0.8499999791383743,0.44999997317790985,8
68,741.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.0,0.875,1.3499999791383743,0.13228755766827618,8
69,309.875,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,1.0,1.2374999597668648,0.16535943722915353,8
70,1947.0,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.5,0.0,0.0,0.3125,0.28912583250164253,8
71,1221.625,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.75,0.0,0.0,0.3125000009313226,0.30998991855250374,8
72,674.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.125,0.875,1.2874999679625034,0.3789376514489339,8
73,490.25,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.0,0.875,1.1624999642372131,0.2394655308457927,8
74,555.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.0,0.0,0.125,0.5124999992549419,0.2976470047536214,8
75,712.25,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.0,0.625,0.7874999782070518,0.5710461674440594,8
76,629.0,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.25,0.0,0.125,0.47499999590218067,0.3897114181529742,8
77,1315.875,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.625,0.0,0.0,0.3562499964609742,0.33674683866858557,8
78,636.125,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.125,0.0,0.625,0.9062499715946615,0.5246650481021626,8
79,1415.75,['val' 'val' 'val' 'val' 'val' 'val' 'val' 'val'],0.0,0.625,0.0,0.25,0.5624999888241291,0.5170529293287598,8
