answer_single_number_rate,call_index,dataset_role,dense_wrong_reward_std,empty_response_rate,extracted_none_rate,fallback_guarded_wrong_reward_std,fallback_number_used_rate,fallback_numeric_exact_rate,format_accuracy,guarded_wrong_reward_std,no_close_answer_rate,numeric_exact_rate,overlong_rate_1200,overlong_rate_1600,parser_false_negative_rate,reward_format_leakage,reward_hacking_rate,reward_mean,reward_mode,reward_numeric_margin,robust_numeric_exact_rate,rows,run_id
1.0,9398,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,4.5,0.5,7.25,baseline,5.5,0.5,2,R6_lora_r32_rollout320
1.0,9399,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,0.0,10.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9400,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,0.0,10.0,baseline,,1.0,2,R6_lora_r32_rollout320
0.5,9401,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,4.75,1.0,4.75,baseline,,0.5,2,R6_lora_r32_rollout320
1.0,9402,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,4.5,0.5,7.25,baseline,5.5,0.5,2,R6_lora_r32_rollout320
1.0,9403,['val' 'val'],0.0,0.0,0.0,2.875,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,4.5,0.5,7.25,baseline,5.5,0.5,2,R6_lora_r32_rollout320
1.0,9404,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.5,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9405,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.5,,0.5,1.0,0.0,0.0,0.0,,0.0,6.5,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9406,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9407,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,0.0,10.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9408,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9409,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,0.0,10.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9410,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,5.0,0.5,3.25,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9411,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9412,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,4.5,0.5,3.75,baseline,-1.5,0.5,2,R6_lora_r32_rollout320
1.0,9413,['val' 'val'],0.0,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,0.5,8.0,baseline,4.0,0.5,2,R6_lora_r32_rollout320
1.0,9414,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9415,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.5,,0.5,1.0,0.0,0.0,0.0,,0.0,6.5,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9416,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9417,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,0.0,10.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9418,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9419,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,0.0,10.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9420,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,4.5,0.5,7.25,baseline,5.5,0.5,2,R6_lora_r32_rollout320
1.0,9421,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9422,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9423,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,4.5,0.5,7.25,baseline,5.5,0.5,2,R6_lora_r32_rollout320
1.0,9424,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,4.5,1.0,4.5,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9425,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,4.5,0.5,3.75,baseline,-1.5,0.5,2,R6_lora_r32_rollout320
1.0,9426,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,4.5,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9427,['val' 'val'],0.0,0.0,0.0,2.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,,0.0,5.75,baseline,8.5,0.5,2,R6_lora_r32_rollout320
1.0,9428,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,4.5,0.5,7.25,baseline,5.5,0.5,2,R6_lora_r32_rollout320
1.0,9429,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.5,,0.5,1.0,0.0,0.0,0.0,,0.0,6.5,baseline,,1.0,2,R6_lora_r32_rollout320
0.5,9430,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9431,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,baseline,,1.0,2,R6_lora_r32_rollout320
0.5,9432,['val' 'val'],0.75,0.0,0.5,0.375,0.0,0.0,0.5,1.25,0.0,0.0,0.5,0.5,0.0,4.5,0.5,2.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9433,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9434,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9435,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9436,['val' 'val'],0.0,0.0,0.0,2.875,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,,0.0,5.75,baseline,8.5,0.5,2,R6_lora_r32_rollout320
1.0,9437,['val' 'val'],0.0,0.0,0.0,2.875,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,,0.0,4.5,baseline,6.0,0.5,2,R6_lora_r32_rollout320
1.0,9438,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9439,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,,0.0,5.25,baseline,9.5,0.5,2,R6_lora_r32_rollout320
1.0,9440,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.5,,0.5,1.0,0.0,0.0,0.0,,0.0,6.5,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9441,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9442,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9443,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9444,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9445,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,4.5,0.5,3.25,baseline,-2.5,0.5,2,R6_lora_r32_rollout320
1.0,9446,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,4.5,baseline,,0.0,2,R6_lora_r32_rollout320
0.5,9447,['val' 'val'],0.75,0.0,0.5,0.375,0.0,0.0,0.0,1.25,0.5,0.0,1.0,1.0,0.0,,0.0,0.0,baseline,,0.0,2,R6_lora_r32_rollout320
