answer_single_number_rate,call_index,dataset_role,dense_wrong_reward_std,empty_response_rate,extracted_none_rate,fallback_guarded_wrong_reward_std,fallback_number_used_rate,fallback_numeric_exact_rate,format_accuracy,guarded_wrong_reward_std,no_close_answer_rate,numeric_exact_rate,overlong_rate_1200,overlong_rate_1600,parser_false_negative_rate,reward_format_leakage,reward_hacking_rate,reward_mean,reward_mode,reward_numeric_margin,robust_numeric_exact_rate,rows,run_id
1.0,9448,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.5,,0.5,1.0,0.0,0.0,0.0,,0.0,6.5,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9449,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,5.0,0.5,3.25,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9450,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9451,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,4.5,1.0,4.5,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9452,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,,0.0,5.75,baseline,8.5,0.5,2,R6_lora_r32_rollout320
1.0,9453,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9614,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,4.5,0.5,3.75,baseline,-1.5,0.5,2,R6_lora_r32_rollout320
1.0,9615,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.5,baseline,,0.0,2,R6_lora_r32_rollout320
0.5,9616,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,4.75,1.0,4.75,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9617,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,0.0,10.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9618,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,4.5,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9619,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9620,['val' 'val'],0.625,0.0,0.0,0.875,0.0,0.0,0.5,0.875,0.5,0.0,0.0,0.0,0.0,5.75,0.5,3.625,baseline,,0.0,2,R6_lora_r32_rollout320
0.5,9621,['val' 'val'],0.75,0.0,0.5,0.375,0.0,0.0,0.5,1.25,0.0,0.0,0.5,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
0.5,9622,['val' 'val'],0.75,0.0,0.5,0.375,0.0,0.0,0.0,1.25,0.5,0.0,1.0,0.5,0.0,,0.0,0.5,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9623,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9624,['val' 'val'],0.625,0.0,0.0,0.875,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,4.5,1.0,4.5,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9625,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9626,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.5,,0.5,1.0,0.0,0.0,0.0,,0.0,6.5,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9627,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.5,,0.5,1.0,0.0,0.0,0.0,,0.0,6.5,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9628,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,,0.0,2.25,baseline,1.5,0.5,2,R6_lora_r32_rollout320
1.0,9629,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.5,,0.5,1.0,0.0,0.0,0.0,,0.0,6.5,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9630,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9631,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,4.5,0.5,6.0,baseline,3.0,0.5,2,R6_lora_r32_rollout320
1.0,9632,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,1.5,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9633,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,0.0,10.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9634,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,,0.0,5.75,baseline,8.5,0.5,2,R6_lora_r32_rollout320
1.0,9635,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,1.0,4.75,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9636,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,4.5,baseline,,0.0,2,R6_lora_r32_rollout320
0.5,9637,['val' 'val'],0.75,0.0,0.5,0.375,0.0,0.0,0.5,1.25,0.0,0.0,1.0,0.5,0.0,4.5,0.5,2.0,baseline,,0.0,2,R6_lora_r32_rollout320
