call_index,completion_chars_mean,dataset_role,empty_response_rate,extracted_none_rate,format_accuracy,numeric_exact_rate,reward_mean,reward_std,sampled_rows
1,412.0,['train' 'train'],0.0,0.0,0.0,0.5,0.8499999791383743,0.44999997317790985,2
2,525.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0499999821186066,0.2499999701976776,2
3,1126.0,['val' 'val'],0.0,0.0,0.0,0.0,0.4000000059604645,0.0,2
4,1145.5,['val' 'val'],0.0,0.5,0.0,0.0,0.350000012665987,0.2500000111758709,2
5,652.5,['val' 'val'],0.0,0.0,0.0,0.5,0.949999988079071,0.44999998807907104,2
6,1352.5,['val' 'val'],0.0,1.0,0.0,0.0,-0.10000000149011612,0.10000000149011612,2
7,548.5,['val' 'val'],0.0,0.0,1.0,0.5,1.3499999642372131,0.44999998807907104,2
8,1404.0,['val' 'val'],0.0,0.5,0.0,0.0,0.20000000298023224,0.20000000298023224,2
9,549.5,['val' 'val'],0.0,0.0,0.0,0.0,0.4000000059604645,0.0,2
10,820.5,['val' 'val'],0.0,0.0,0.0,0.0,0.4000000059604645,0.0,2
11,424.0,['val' 'val'],0.0,0.0,0.0,0.0,0.4000000059604645,0.0,2
12,420.5,['val' 'val'],0.0,0.0,0.0,0.0,0.4000000059604645,0.0,2
13,1564.0,['val' 'val'],0.0,0.5,0.0,0.0,0.20000000298023224,0.20000000298023224,2
14,433.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0999999940395355,0.29999998211860657,2
15,668.5,['val' 'val'],0.0,0.0,0.0,1.0,1.2999999523162842,0.0,2
16,305.0,['val' 'val'],0.0,0.0,0.0,1.0,1.399999976158142,0.0,2
17,579.0,['val' 'val'],0.0,0.0,0.0,1.0,1.2999999523162842,0.0,2
18,368.0,['val' 'val'],0.0,0.0,0.5,0.5,1.149999976158142,0.6499999761581421,2
19,523.0,['val' 'val'],0.0,0.0,0.5,0.5,1.0999999642372131,0.19999998807907104,2
