call_index,completion_chars_mean,dataset_role,empty_response_rate,extracted_none_rate,format_accuracy,numeric_exact_rate,reward_mean,reward_std,sampled_rows
77,523.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
78,729.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
79,1409.0,['val' 'val'],0.0,0.5,0.0,0.0,-1.5,1.0,2
80,865.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
81,378.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
82,395.0,['val' 'val'],0.0,0.5,0.0,0.5,-1.25,1.25,2
83,264.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,1.0,2
84,231.5,['val' 'val'],0.0,0.5,0.0,0.5,-0.75,0.75,2
85,1682.5,['val' 'val'],0.0,0.5,0.0,0.0,-2.0,0.5,2
86,747.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
87,282.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
88,340.5,['val' 'val'],0.0,0.0,0.0,1.0,0.5,0.5,2
89,552.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
90,465.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
91,247.0,['val' 'val'],0.0,0.0,0.0,1.0,0.5,0.5,2
92,421.5,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
93,1035.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
94,1408.5,['val' 'val'],0.0,0.5,0.0,0.5,-0.75,1.75,2
95,331.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
96,959.5,['val' 'val'],0.0,0.0,0.5,0.0,1.5,2.0,2
97,469.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
98,469.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
99,301.5,['val' 'val'],0.0,0.0,1.0,1.0,9.0,0.0,2
100,371.0,['val' 'val'],0.0,0.5,0.0,0.5,-0.25,1.25,2
101,246.0,['val' 'val'],0.0,0.0,0.0,1.0,0.0,0.0,2
102,1102.5,['val' 'val'],0.0,0.5,0.0,0.0,-1.5,1.0,2
103,402.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
104,2395.0,['val' 'val'],0.0,1.0,0.0,0.0,-2.5,0.0,2
105,492.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
106,1646.0,['val' 'val'],0.0,0.5,0.5,0.0,1.0,2.5,2
107,629.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
108,594.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
109,373.5,['val' 'val'],0.0,0.0,0.0,0.0,-1.0,0.5,2
110,1018.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
111,554.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
112,482.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
113,1777.0,['val' 'val'],0.0,1.0,0.0,0.0,-2.5,0.0,2
114,578.0,['val' 'val'],0.0,0.0,0.0,1.0,0.5,0.5,2
115,599.0,['val' 'val'],0.0,0.0,1.0,1.0,10.0,0.0,2
116,1444.0,['val' 'val'],0.0,0.5,0.0,0.0,-1.5,1.0,2
117,1941.5,['val' 'val'],0.0,0.5,0.0,0.0,-1.5,1.0,2
118,223.5,['val' 'val'],0.0,0.0,0.0,1.0,0.0,0.0,2
119,1151.0,['val' 'val'],0.0,0.5,0.0,0.0,-2.0,0.5,2
120,377.0,['val' 'val'],0.0,0.5,0.0,0.5,-0.25,1.25,2
121,662.5,['val' 'val'],0.0,1.0,0.0,0.0,-0.5,0.0,2
122,1415.5,['val' 'val'],0.0,1.0,0.0,0.0,-2.0,0.5,2
123,663.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
124,193.0,['val' 'val'],0.0,0.0,0.0,0.0,-1.5,0.0,2
125,2174.5,['val' 'val'],0.0,1.0,0.0,0.0,-2.0,0.5,2
126,508.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
127,388.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
128,1467.5,['val' 'val'],0.0,0.5,0.5,0.5,3.25,5.75,2
129,661.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
130,824.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
131,803.0,['val' 'val'],0.0,0.0,0.5,0.0,1.5,2.0,2
132,492.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
133,527.5,['val' 'val'],0.0,0.0,0.0,1.0,0.5,0.5,2
134,430.5,['val' 'val'],0.0,1.0,0.0,0.0,-0.5,0.0,2
135,479.0,['val' 'val'],0.0,0.0,1.0,0.5,7.0,2.0,2
136,242.5,['val' 'val'],0.0,0.5,0.0,0.5,-0.25,1.25,2
137,673.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
138,238.5,['val' 'val'],0.0,0.5,0.0,0.5,-0.25,1.25,2
139,1103.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
140,1630.0,['val' 'val'],0.0,0.5,0.5,0.0,1.0,2.5,2
141,757.5,['val' 'val'],0.0,0.0,1.0,0.0,4.25,0.75,2
142,740.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
143,438.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
144,561.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
145,795.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
146,1116.5,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
147,316.0,['val' 'val'],0.0,0.0,0.0,0.0,-1.0,0.5,2
148,717.0,['val' 'val'],0.0,0.5,1.0,0.0,3.75,0.25,2
149,176.0,['val' 'val'],0.0,1.0,0.0,0.0,-1.5,0.0,2
150,327.0,['val' 'val'],0.0,0.0,0.0,1.0,0.5,0.5,2
151,1162.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
152,924.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
153,610.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
154,437.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
155,700.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
156,1105.0,['val' 'val'],0.0,0.0,0.0,1.0,0.5,0.5,2
157,1417.5,['val' 'val'],0.0,0.5,0.0,0.5,-0.75,1.75,2
158,470.5,['val' 'val'],0.0,0.0,1.0,1.0,9.0,0.0,2
159,510.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
160,332.0,['val' 'val'],0.0,1.0,0.0,0.0,-1.5,0.0,2
161,482.5,['val' 'val'],0.0,0.0,1.0,1.0,9.0,0.0,2
162,934.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
163,708.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
164,529.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
165,345.5,['val' 'val'],0.0,0.5,0.0,0.5,-0.25,1.25,2
166,291.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
167,207.0,['val' 'val'],0.0,0.0,0.0,1.0,0.0,0.0,2
168,429.0,['val' 'val'],0.0,0.0,0.0,0.0,-1.0,0.5,2
169,1518.0,['val' 'val'],0.0,0.5,0.5,0.5,3.75,6.25,2
170,799.0,['val' 'val'],0.0,0.5,0.0,0.5,-0.75,1.75,2
171,368.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
172,702.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
173,322.5,['val' 'val'],0.0,0.0,0.0,0.5,-0.25,1.25,2
174,209.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
175,738.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
176,208.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
177,338.5,['val' 'val'],0.0,0.0,0.0,0.5,-0.75,0.75,2
178,1226.0,['val' 'val'],0.0,0.0,1.0,0.0,3.5,0.0,2
179,781.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
180,590.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
181,259.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
182,1452.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
183,678.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
184,283.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
185,214.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
186,434.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
187,310.0,['val' 'val'],0.0,0.5,0.0,0.0,-1.5,1.0,2
188,790.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
189,974.0,['val' 'val'],0.0,1.0,0.0,0.0,-2.5,0.0,2
190,545.5,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
191,413.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
192,1768.5,['val' 'val'],0.0,0.5,0.0,0.0,-1.5,1.0,2
193,360.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
194,389.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
195,812.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
196,627.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
197,719.5,['val' 'val'],0.0,0.0,0.5,0.0,1.5,2.0,2
198,2525.0,['val' 'val'],0.0,1.0,0.0,0.0,-2.5,0.0,2
199,401.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
200,476.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
201,477.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,0.0,2
202,534.5,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
203,871.0,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
204,666.5,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
205,646.5,['val' 'val'],0.0,0.0,0.0,0.0,-1.0,0.5,2
206,345.5,['val' 'val'],0.0,0.5,0.0,0.5,-0.25,1.25,2
207,689.0,['val' 'val'],0.0,0.0,0.0,1.0,1.0,0.0,2
